date,year,month,month_name,quarter,week,day,day_of_week,day_name,is_weekend,year_month
2017-08-09,2017,8,August,3,32,9,2,Wednesday,False,2017-08
2017-08-10,2017,8,August,3,32,10,3,Thursday,False,2017-08
2017-08-11,2017,8,August,3,32,11,4,Friday,False,2017-08
2017-08-12,2017,8,August,3,32,12,5,Saturday,True,2017-08
2017-08-13,2017,8,August,3,32,13,6,Sunday,True,2017-08
2017-08-14,2017,8,August,3,33,14,0,Monday,False,2017-08
2017-08-15,2017,8,August,3,33,15,1,Tuesday,False,2017-08
2017-08-16,2017,8,August,3,33,16,2,Wednesday,False,2017-08
2017-08-17,2017,8,August,3,33,17,3,Thursday,False,2017-08
2017-08-18,2017,8,August,3,33,18,4,Friday,False,2017-08
2017-08-19,2017,8,August,3,33,19,5,Saturday,True,2017-08
2017-08-20,2017,8,August,3,33,20,6,Sunday,True,2017-08
2017-08-21,2017,8,August,3,34,21,0,Monday,False,2017-08
2017-08-22,2017,8,August,3,34,22,1,Tuesday,False,2017-08
2017-08-23,2017,8,August,3,34,23,2,Wednesday,False,2017-08
2017-08-24,2017,8,August,3,34,24,3,Thursday,False,2017-08
2017-08-25,2017,8,August,3,34,25,4,Friday,False,2017-08
2017-08-26,2017,8,August,3,34,26,5,Saturday,True,2017-08
2017-08-27,2017,8,August,3,34,27,6,Sunday,True,2017-08
2017-08-28,2017,8,August,3,35,28,0,Monday,False,2017-08
2017-08-29,2017,8,August,3,35,29,1,Tuesday,False,2017-08
2017-08-30,2017,8,August,3,35,30,2,Wednesday,False,2017-08
2017-08-31,2017,8,August,3,35,31,3,Thursday,False,2017-08
2017-09-01,2017,9,September,3,35,1,4,Friday,False,2017-09
2017-09-02,2017,9,September,3,35,2,5,Saturday,True,2017-09
2017-09-03,2017,9,September,3,35,3,6,Sunday,True,2017-09
2017-09-04,2017,9,September,3,36,4,0,Monday,False,2017-09
2017-09-05,2017,9,September,3,36,5,1,Tuesday,False,2017-09
2017-09-06,2017,9,September,3,36,6,2,Wednesday,False,2017-09
2017-09-07,2017,9,September,3,36,7,3,Thursday,False,2017-09
2017-09-08,2017,9,September,3,36,8,4,Friday,False,2017-09
2017-09-09,2017,9,September,3,36,9,5,Saturday,True,2017-09
2017-09-10,2017,9,September,3,36,10,6,Sunday,True,2017-09
2017-09-11,2017,9,September,3,37,11,0,Monday,False,2017-09
2017-09-12,2017,9,September,3,37,12,1,Tuesday,False,2017-09
2017-09-13,2017,9,September,3,37,13,2,Wednesday,False,2017-09
2017-09-14,2017,9,September,3,37,14,3,Thursday,False,2017-09
2017-09-15,2017,9,September,3,37,15,4,Friday,False,2017-09
2017-09-16,2017,9,September,3,37,16,5,Saturday,True,2017-09
2017-09-17,2017,9,September,3,37,17,6,Sunday,True,2017-09
2017-09-18,2017,9,September,3,38,18,0,Monday,False,2017-09
2017-09-19,2017,9,September,3,38,19,1,Tuesday,False,2017-09
2017-09-20,2017,9,September,3,38,20,2,Wednesday,False,2017-09
2017-09-21,2017,9,September,3,38,21,3,Thursday,False,2017-09
2017-09-22,2017,9,September,3,38,22,4,Friday,False,2017-09
2017-09-23,2017,9,September,3,38,23,5,Saturday,True,2017-09
2017-09-24,2017,9,September,3,38,24,6,Sunday,True,2017-09
2017-09-25,2017,9,September,3,39,25,0,Monday,False,2017-09
2017-09-26,2017,9,September,3,39,26,1,Tuesday,False,2017-09
2017-09-27,2017,9,September,3,39,27,2,Wednesday,False,2017-09
2017-09-28,2017,9,September,3,39,28,3,Thursday,False,2017-09
2017-09-29,2017,9,September,3,39,29,4,Friday,False,2017-09
2017-09-30,2017,9,September,3,39,30,5,Saturday,True,2017-09
2017-10-01,2017,10,October,4,39,1,6,Sunday,True,2017-10
2017-10-02,2017,10,October,4,40,2,0,Monday,False,2017-10
2017-10-03,2017,10,October,4,40,3,1,Tuesday,False,2017-10
2017-10-04,2017,10,October,4,40,4,2,Wednesday,False,2017-10
2017-10-05,2017,10,October,4,40,5,3,Thursday,False,2017-10
2017-10-06,2017,10,October,4,40,6,4,Friday,False,2017-10
2017-10-07,2017,10,October,4,40,7,5,Saturday,True,2017-10
2017-10-08,2017,10,October,4,40,8,6,Sunday,True,2017-10
2017-10-09,2017,10,October,4,41,9,0,Monday,False,2017-10
2017-10-10,2017,10,October,4,41,10,1,Tuesday,False,2017-10
2017-10-11,2017,10,October,4,41,11,2,Wednesday,False,2017-10
